"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","edge_percent","whiff_percent","swing_percent"
"Arenado, Nolan","571448","2024","33","578","635","157","118","23","0","16","92","44",14.5,6.9,".272",".394",".325","0.719","71","70","2","1",".255",".356",".314",".296",".312",".101",".336",".313",".318",".302",".017",".038",70.7,12.8,9.2,7.8,32.3,27.6,"8.2","29","86.3","16.9",35.9,"16",3.2,28.2,4.5,31.6,"96.924147927","92.483246402",42.2,17.2,46.8
"Witt Jr., Bobby","677951","2024","24","636","709","211","123","45","11","32","106","57",15,8,".332",".588",".389","0.977","109","125","0","0",".315",".577",".410",".407",".378",".262",".461",".458",".392",".378",".017",".011",74.7,48.2,20.3,15.9,34.8,27.4,"7.1","16","92.7","15.1",35.7,"77",14.3,25.3,2.2,48.3,"103.972880446","96.499868141",41.3,22.3,51.2
"McCutchen, Andrew","457705","2024","37","448","515","104","65","18","1","20","133","58",25.8,11.3,".232",".411",".328","0.739","50","66","0","0",".227",".421",".325",".327",".324",".194",".386",".391",".328",".322",".005","-0.010",72.7,25.3,14.9,11.1,31.2,23.2,"7.6","11","88.5","14.3",31.9,"38",12,32.8,3.5,36.9,"99.424962893","93.831123091",44,28.9,42
"Gelof, Zack","680869","2024","24","497","547","105","66","20","2","17","188","38",34.4,6.9,".211",".362",".270","0.632","49","60","0","0",".199",".347",".276",".271",".262",".148",".386",".377",".334",".320",".012",".015",71.6,11.7,12,7.8,30.4,19.8,"7.3","23","89.2","14.2",34.4,"28",8.8,31.5,4.1,37.2,"98.970921935","93.611147032",43.7,36.4,51.5
"Varsho, Daulton","662139","2024","27","459","513","98","52","21","7","18","137","48",26.7,9.4,".214",".407",".293","0.700","58","73","0","0",".186",".316",".304",".261",".268",".130",".372",".304",".303",".264",".028",".091",73.7,34.4,11.1,8.2,24,17.7,"7.6","6","86.1","24.4",30.2,"20",6.2,19.8,9.9,34,"98.537583503","93.276618121",45.8,27,47.6
"Winker, Jesse","608385","2024","30","430","508","109","72","23","0","14","106","63",20.9,12.4,".253",".405",".360","0.765","58","63","1","0",".245",".384",".338",".329",".353",".139",".370",".357",".333",".323",".008",".021",69.6,7.7,11.7,9.6,32.7,26.9,"7.3","20","88.6","14",30.1,"25",7.6,33.1,3.6,37.4,"98.91091179","93.570274815",43.7,19.6,43.2
"Cowser, Colton","681297","2024","24","499","561","121","70","24","3","24","172","52",30.7,9.3,".242",".447",".321","0.768","69","77","0","0",".230",".437",".331",".326",".312",".207",".442",".433",".367",".352",".012",".010",73.8,40.7,17,12.4,31,22.7,"6.9","23","90.5","13",32.1,"45",13.6,31.2,3.9,46.1,"101.838992303","95.374243739",42.9,30.4,44.5
"Stephenson, Tyler","663886","2024","27","457","515","118","72","26","1","19","117","48",22.7,9.3,".258",".444",".338","0.782","66","69","0","0",".241",".403",".339",".322",".325",".162",".400",".373",".345",".325",".017",".041",70.8,9.4,15.6,12.7,37.5,30.5,"7.4","31","90.2","10.9",33,"31",9.1,35.1,2,43.9,"100.320154503","94.587176774",42.3,22.7,43.2
"Ramos, Heliot","671218","2024","24","475","518","128","80","23","3","22","135","37",26.1,7.1,".269",".469",".322","0.791","72","54","0","0",".250",".481",".339",".338",".307",".230",".434",".434",".372",".350",".019","-0.012",75.2,55.3,18.3,13.7,29.8,22.3,"6.9","28","91.5","10.4",34.3,"50",14.5,34,4.1,47.5,"102.620742924","95.895956716",40.1,28.7,50.3
"Ortiz, Joey","687401","2024","25","440","511","105","63","25","6","11","103","56",20.2,11,".239",".398",".329","0.727","60","58","1","0",".234",".343",".319",".305",".328",".109",".347",".327",".306",".305",".005",".055",73.4,34.8,12.4,10.5,26.5,22.5,"7.5","8","87.8","9.9",26.6,"16",4.6,35.5,5.2,38.4,"99.391509467","93.766433018",44.8,17.1,39.4
"Meyers, Jake","676694","2024","28","461","513","101","65","20","3","13","117","35",22.8,6.8,".219",".360",".286","0.646","61","51","0","0",".235",".382",".285",".304",".303",".147",".327",".355",".290",".315","-0.016","-0.022",68.6,7.8,10.6,8,31.6,23.8,"7","31","88.2","14.4",34.8,"24",6.8,30.8,5.7,37,"99.317270058","93.726741906",43.3,27,49.1
"Sánchez, Jesús","660821","2024","26","489","537","123","79","25","1","18","140","41",26.1,7.6,".252",".417",".313","0.730","64","60","1","0",".264",".468",".317",".343",".325",".204",".397",".437",".350",".369","-0.012","-0.051",75.2,54.4,19.1,13.1,32.2,22.2,"7.1","13","92.5","7.7",31.8,"43",12.2,37.2,3.1,51.3,"104.556000571","96.923820315",42.8,31.2,53.2
"Mountcastle, Ryan","663624","2024","27","473","507","128","83","30","2","13","114","27",22.5,5.3,".271",".425",".308","0.733","63","54","0","0",".272",".445",".316",".332",".313",".173",".385",".408",".351",".358","-0.001","-0.020",75.1,50,15.9,12.2,27.3,20.9,"7.5","15","90.8","10.4",36.2,"32",8.8,33.2,3,45.2,"102.105716923","95.370233104",42.6,25.1,56.1
"Lowe, Nathaniel","663993","2024","28","486","565","129","96","16","1","16","125","71",22.1,12.6,".265",".401",".361","0.762","69","62","1","0",".252",".380",".337",".328",".352",".128",".381",".368",".353",".339",".013",".021",73.3,29.3,15.2,12.4,28.3,23,"7.3","23","88.9","7.7",32.6,"21",5.8,37.5,3,40,"100.432822253","94.330442369",44.6,20.6,42.7
"Turner, Justin","457759","2024","39","460","539","119","84","24","0","11","95","59",17.6,10.9,".259",".383",".354","0.737","55","59","1","0",".252",".383",".327",".328",".352",".131",".341",".343",".320",".316",".007",".000",65.1,0.8,5,4.3,32.5,27.9,"6.3","16","87.1","17.8",40.1,"17",4.6,23.9,3.2,32.5,"96.702342312","92.434680753",43.3,17,45.4
"Taveras, Leody","665750","2024","25","480","529","110","78","17","3","12","112","42",21.2,7.9,".229",".352",".289","0.641","44","59","1","0",".240",".368",".282",".295",".301",".129",".321",".340",".296",".312","-0.011","-0.016",71.3,14.8,14.4,10.6,32.6,24,"7.5","6","89","14.7",31.5,"22",5.9,30.1,2.9,35.5,"99.173170874","93.650113205",43.6,26.2,48.8
"Morel, Christopher","666624","2024","25","535","611","105","70","11","3","21","159","61",26,10,".196",".346",".288","0.634","60","56","1","0",".225",".399",".280",".316",".316",".174",".324",".381",".276",".320","-0.029","-0.053",76.1,64.7,17.6,11.7,30.2,20.1,"8","24","89.2","14.2",27.6,"39",10.2,34.1,2.6,40.4,"101.221222105","94.784090605",44.1,34.1,47
"Arozarena, Randy","668227","2024","29","549","648","120","67","33","0","20","169","73",26.1,11.3,".219",".388",".332","0.720","60","77","1","0",".219",".381",".320",".324",".335",".162",".368",".375",".313",".318",".000",".007",72.7,33.4,15.9,11.6,32.9,24.1,"7.4","15","90.4","13.2",28.4,"32",8.3,33.1,2.6,43.5,"100.904108177","94.731331384",43,29.7,41
"Langford, Wyatt","694671","2024","22","499","557","126","81","25","4","16","115","51",20.6,9.2,".253",".415",".325","0.740","74","74","3","0",".257",".427",".321",".331",".330",".170",".367",".382",".326",".333","-0.004","-0.012",74.5,48.2,18.4,14.2,31.7,24.4,"7","8","89.6","16.6",31.3,"36",9.3,28.4,4.1,43.4,"101.211098854","94.807365599",42.1,22.9,42.8
"Burger, Jake","669394","2024","28","535","579","134","81","23","1","29","150","31",25.9,5.4,".250",".460",".301","0.761","76","68","1","0",".256",".476",".325",".338",".307",".221",".415",".433",".344",".355","-0.006","-0.016",74.7,46.9,20.2,14.4,33.4,23.9,"7.5","17","91.3","13",32.4,"48",12.3,29.8,3.6,46.8,"103.619986856","96.171144407",43,30.1,52.4
"Judge, Aaron","592450","2024","32","559","704","180","85","36","1","58","171","133",24.3,18.9,".322",".701",".458","1.159","144","122","0","1",".310",".723",".476",".479",".449",".413",".617",".623",".462",".445",".012","-0.022",77.2,75.1,25.6,18,33.7,23.7,"8.2","16","96.2","19",40.8,"105",26.9,20.3,1.3,61,"107.20043567","99.103701521",41.1,30.7,42
"Doyle, Brenton","686668","2024","26","542","603","141","90","24","4","23","153","46",25.4,7.6,".260",".446",".317","0.763","72","82","2","0",".254",".437",".328",".329",".315",".183",".410",".412",".355",".351",".006",".009",70.9,8.1,15.2,10.8,34.3,24.3,"7.4","20","89.2","13.2",37.4,"42",10.5,28.2,5.5,41.4,"100.983223096","94.67619269",43,29.8,51.4
"Vierling, Matt","663837","2024","27","518","567","133","84","28","5","16","121","41",21.3,7.2,".257",".423",".312","0.735","57","80","1","0",".256",".393",".317",".309",".313",".137",".373",".362",".331",".332",".001",".030",71.1,12.2,15.6,12.5,35.6,28.6,"7.4","8","89.8","11.7",34.1,"30",7.5,33.8,3.5,40.9,"100.235830606","94.344722247",42.1,19.5,42.8
"Happ, Ian","664023","2024","29","569","657","138","77","34","2","25","168","80",25.6,12.2,".243",".441",".341","0.782","86","89","0","0",".243",".446",".341",".345",".342",".203",".409",".416",".342",".345",".000","-0.005",72.4,23.7,15.1,11,31.8,23.2,"7","18","90.8","15.1",37,"47",11.7,26.8,3.5,45.2,"101.590666318","95.287992294",45,27.9,45.9
"Smith, Josh","669701","2024","26","523","592","135","91","30","1","13","121","46",20.4,7.8,".258",".394",".337","0.731","62","67","1","0",".242",".352",".323",".304",".324",".110",".361",".333",".333",".315",".016",".042",70.1,6.8,11.8,9.2,35.7,27.8,"6.8","10","87.8","15.4",33.7,"15",3.7,26.5,6.1,37.1,"98.306997711","93.25999596",43.7,21.8,47.1
"Neto, Zach","687263","2024","23","542","602","135","77","34","1","23","140","39",23.3,6.5,".249",".443",".318","0.761","77","70","0","0",".236",".414",".330",".317",".307",".178",".395",".376",".335",".319",".013",".029",71,14.7,13.9,10.4,33.8,25.4,"7.1","37","88.5","12.3",29,"34",8.4,29.7,7.1,38.8,"100.130832864","94.28058907",41.5,27.1,48.9
"Turner, Trea","607208","2024","31","505","539","149","103","25","0","21","98","27",18.2,5,".295",".469",".338","0.807","62","88","1","0",".264",".419",".349",".318",".309",".155",".405",".364",".365",".327",".031",".050",71.7,17.9,13.5,10,34,25.3,"7.6","15","89.1","11.5",30.9,"28",6.9,35.5,2.7,40.7,"99.706063382","94.073107543",41.3,26.1,53.7
"García, Adolis","666969","2024","31","580","637","130","78","27","0","25","177","45",27.8,7.1,".224",".400",".284","0.684","85","68","0","0",".227",".413",".296",".306",".289",".186",".376",".393",".318",".325","-0.003","-0.013",72,23,16.4,11.1,33.4,22.6,"7.9","14","91","15",33.7,"51",12.5,28.1,2.4,48.2,"101.827676765","95.435631691",40.9,34.3,52.1
"Chourio, Jackson","694192","2024","20","528","573","145","91","29","4","21","121","39",21.1,6.8,".275",".464",".327","0.791","79","80","0","0",".274",".430",".339",".328",".326",".156",".406",".391",".355",".354",".001",".034",73.2,34,17.9,13.5,34.5,26,"7.4","22","89.7","7.6",33.2,"32",7.8,36.6,5.6,44.9,"100.832969557","94.831073407",41.2,27.1,48.8
"Chisholm Jr., Jazz","665862","2024","26","562","621","144","95","21","4","24","152","53",24.5,8.5,".256",".436",".324","0.760","73","74","1","0",".240",".415",".327",".316",".310",".176",".402",".386",".350",".329",".016",".021",72,23.6,15.1,10.7,32.2,22.7,"7.5","11","89.7","11.4",29.6,"40",9.7,35.2,5.8,41.1,"100.122466782","94.459141861",42.3,29.3,47.5
"Castro, Willi","650489","2024","27","558","635","138","90","31","5","12","150","51",23.6,8,".247",".385",".331","0.716","60","89","0","0",".244",".381",".317",".320",".331",".137",".366",".371",".335",".335",".003",".004",70.6,15.5,12,8.7,29,21,"7.1","18","87.4","13.6",39,"29",7,26.4,5.6,36.8,"98.851706502","93.501303852",42.7,29,51.4
"García, Luis","671277","2024","24","500","528","141","97","25","1","18","86","27",16.3,5.1,".282",".444",".318","0.762","70","58","0","0",".278",".452",".328",".331",".315",".174",".374",".379",".340",".336",".004","-0.008",71.7,22.7,16.1,12.8,35.2,28,"7.3","10","89.1","8.2",32.8,"33",8,36.9,3.9,41.7,"100.167127696","94.249397672",42.6,21.3,51.7
"Nimmo, Brandon","607043","2024","31","571","663","128","77","25","3","23","158","77",23.8,11.6,".224",".399",".327","0.726","90","88","1","0",".244",".408",".321",".335",".346",".164",".363",".386",".308",".338","-0.020","-0.009",73.3,35.8,15.8,12.4,31.3,24.5,"7.3","22","91.9","11.2",33.7,"38",9.1,33.7,1,47.4,"101.264982933","95.221659687",42.9,23.4,44.8
"India, Jonathan","663697","2024","27","533","637","132","87","28","2","15","125","80",19.6,12.6,".248",".392",".357","0.749","58","84","0","0",".266",".412",".333",".352",".376",".146",".351",".380",".318",".346","-0.018","-0.020",71.7,22.2,12.4,10.2,30.7,25.3,"7.2","25","87.2","13.5",39.3,"32",7.7,31.9,4.6,36.5,"98.90319256","93.547150797",42.8,19.2,38.3
"Gurriel Jr., Lourdes","666971","2024","30","513","553","143","101","22","2","18","101","29",18.3,5.2,".279",".435",".322","0.757","75","72","0","0",".267",".421",".327",".319",".312",".154",".376",".365",".343",".330",".012",".014",70.6,9.5,13.4,10.9,31.5,25.7,"7.5","12","88.4","15.7",33.8,"28",6.7,28.3,3.4,40,"99.549348469","93.921850288",41.7,20.2,51.1
"Abrams, CJ","682928","2024","23","541","602","133","78","29","6","20","128","40",21.3,6.6,".246",".433",".314","0.747","65","79","0","0",".247",".409",".322",".319",".318",".161",".373",".370",".319",".324","-0.001",".024",72.2,23.9,13.5,10.4,31.9,24.7,"7.5","32","88.2","15.1",33,"29",6.9,27.8,4.3,40.7,"99.496479615","93.910198048",43.8,24.7,53.3
"Chapman, Matt","656305","2024","31","575","647","142","74","39","2","27","158","64",24.4,9.9,".247",".463",".328","0.791","78","98","0","0",".250",".451",".340",".341",".332",".201",".412",".414",".339",".345","-0.003",".012",76.6,64.1,18.5,14.1,28.1,21.5,"7.5","21","93.2","16.2",31.3,"53",12.6,24.6,3.1,48.3,"104.356012981","96.727633301",43.2,23.5,44.6
"Bell, Josh","605137","2024","31","538","603","134","90","23","2","19","120","51",19.9,8.5,".249",".405",".319","0.724","71","62","1","5",".239",".396",".317",".310",".311",".157",".357",".348",".318",".306",".010",".009",70.4,15,15.4,11.6,36.1,27.2,"7.9","14","88.9","10.5",31.4,"32",7.6,37.3,4.3,40.1,"100.078711292","94.16958744",43.8,26.8,48.8
"Stott, Bryson","681082","2024","26","506","571","124","92","19","2","11","93","53",16.3,9.3,".245",".356",".315","0.671","57","65","0","0",".254",".363",".296",".306",".325",".109",".310",".324",".294",".308","-0.009","-0.007",68.2,1.9,8.8,7.5,34.8,29.7,"7.1","22","87","14",35.3,"15",3.6,30.6,2.8,30.8,"97.149266143","92.631038831",43.3,17,44.1
"Goldschmidt, Paul","502671","2024","36","599","654","147","91","33","1","22","173","47",26.5,7.2,".245",".414",".302","0.716","65","70","1","4",".255",".450",".310",".329",".311",".195",".393",".423",".343",".358","-0.010","-0.036",72.5,24.3,18,13.3,33.5,24.8,"7.8","10","91.2","13.1",34.3,"46",10.7,29,2.3,49.6,"101.892583709","95.666428146",43.8,27.4,47.7
"Kwan, Steven","680757","2024","26","480","540","140","107","16","3","14","51","53",9.4,9.8,".292",".425",".368","0.793","44","83","0","0",".284",".385",".349",".333",".361",".101",".345",".325",".326",".318",".008",".040",64.4,0.4,5.9,5.5,41.9,38.8,"6.4","8","86.3","14.9",38.5,"11",2.6,28.1,4.4,23.7,"95.04543782","91.531639359",43.4,8.2,39.1
"Springer III, George","543807","2024","34","545","614","120","79","19","3","19","115","60",18.7,9.8,".220",".371",".303","0.674","56","74","0","1",".244",".402",".298",".322",".325",".158",".318",".351",".278",".308","-0.024","-0.031",71.9,22.3,15.2,11.7,33,25.4,"7.4","24","87.5","9.4",29.2,"40",9.3,36.3,6.5,37.4,"99.896868","94.046929394",43.4,25.3,49.1
"Steer, Spencer","668715","2024","26","574","656","129","71","34","4","20","137","72",20.9,11,".225",".402",".319","0.721","92","74","0","0",".235",".379",".316",".315",".328",".144",".348",".345",".294",".308","-0.010",".023",71.6,13.6,12.7,10,32.5,25.6,"7.4","21","88","17.4",34.2,"28",6.4,27.3,5.5,39.9,"99.163434247","93.708755492",43.2,23.1,44.5
"Vaughn, Andrew","683734","2024","26","570","619","140","90","30","1","19","132","38",21.3,6.1,".246",".402",".297","0.699","70","55","0","0",".244",".440",".304",".319",".297",".197",".356",".378",".316",".316",".002","-0.038",70.8,12,16.2,12.9,35.4,28.3,"7.6","12","90.3","16.6",33.6,"41",9.3,28.7,2,43.3,"100.921632928","94.702971332",43.2,22,49.4
"Bleday, JJ","668709","2024","26","572","642","139","72","43","4","20","125","67",19.5,10.4,".243",".437",".324","0.761","60","74","1","0",".242",".400",".330",".319",".324",".157",".369",".352",".311",".310",".001",".037",71.7,16.5,15.5,11.8,35,26.5,"7.3","24","88.5","18.6",37.1,"37",8.3,25.2,2.7,36.2,"98.959573229","93.527316345",44.5,26.1,45.3
"Contreras, William","661388","2024","26","595","679","167","105","37","2","23","139","78",20.5,11.5,".281",".466",".365","0.831","92","99","1","0",".269",".471",".359",".358",".356",".202",".412",".411",".364",".350",".012","-0.005",74.7,50.4,21.1,15.7,34.9,25.9,"7.3","25","92.8","6.1",29,"46",10,39.2,2,49.5,"103.875480043","96.642602527",41.6,27.8,47.4
"Soto, Juan","665742","2024","25","576","713","166","90","31","4","41","119","129",16.7,18.1,".288",".569",".419","0.988","109","128","1","0",".316",".646",".421",".462",".445",".330",".453",".517",".360",".399","-0.028","-0.077",75.5,60.3,25.9,21,39.5,32,"7.3","30","94.2","10.7",35.4,"91",19.7,28.9,4.1,57,"105.650123728","97.994705143",43,21.5,37.2
"Merrill, Jackson","701538","2024","21","554","593","162","101","31","6","24","101","29",17,4.9,".292",".500",".326","0.826","90","77","2","0",".303",".534",".352",".372",".337",".231",".408",".434",".354",".368","-0.011","-0.034",72.2,21.3,15.2,12.3,30.4,24.6,"7.5","30","90.4","14.6",39.6,"52",11.3,26.2,3,43.9,"100.811784978","94.735707484",41.9,20.5,56.9
"Turang, Brice","668930","2024","24","559","619","142","107","24","4","7","105","50",17,8.1,".254",".349",".316","0.665","57","72","0","0",".261",".340",".294",".297",".323",".079",".318",".322",".311",".320","-0.007",".009",66.2,3.5,6.2,5.4,33.8,29.2,"6.1","12","87","6.1",32,"11",2.4,38.3,7.4,29.7,"96.869333063","92.521821874",42.7,13.8,47.7
"Naylor, Josh","647304","2024","27","563","633","137","79","27","0","31","105","58",16.6,9.2,".243",".456",".320","0.776","108","84","0","1",".257",".443",".332",".335",".333",".186",".362",".366",".297",".315","-0.014",".013",72.8,32.2,15.3,12.1,33.8,26.8,"7.6","11","89.9","11.1",30.1,"39",8.4,34.6,3.5,40.9,"100.815360087","94.680816725",42.1,22.4,50.3
"Cronenworth, Jake","630105","2024","30","577","656","139","90","29","3","17","118","61",18,9.3,".241",".390",".324","0.714","83","72","1","3",".259",".420",".315",".335",".341",".161",".336",".365",".301",".325","-0.018","-0.030",69.4,6.1,11.7,9.7,31.9,26.4,"7.1","11","88.6","13.9",35.4,"36",7.8,29.2,5.2,36.7,"99.527561266","93.904133654",43.4,17.1,45
"Tovar, Ezequiel","678662","2024","22","655","695","176","101","45","4","26","200","23",28.8,3.3,".269",".469",".295","0.764","78","83","2","1",".233",".401",".324",".289",".264",".168",".444",".391",".381",".335",".036",".068",71.3,18.9,11.8,8,30.6,20.9,"7.5","17","88.8","18.9",38.5,"42",9,21.8,5.4,39.8,"99.306485852","93.964016332",40.9,33.5,62.3
"Carroll, Corbin","682998","2024","23","589","684","136","78","22","14","22","130","73",19,10.7,".231",".428",".322","0.750","74","121","1","0",".241",".391",".325",".324",".334",".150",".350",".349",".291",".308","-0.010",".037",73.7,36.9,18.4,14.6,34.9,27.7,"7","5","89.3","12",27.8,"34",7.2,35.7,4,40.8,"101.055665665","94.755672366",41.2,20.3,41.4
"Díaz, Yandy","650490","2024","32","563","621","158","112","31","1","14","95","50",15.3,8.1,".281",".414",".341","0.755","65","55","0","0",".277",".423",".331",".336",".340",".146",".356",".363",".335",".333",".004","-0.009",73.3,34.4,22,19.2,36.5,31.9,"7.5","2","92.2","5",28.4,"36",7.6,42.6,1.9,48.7,"103.441830979","96.263007825",44.1,14.2,43.9
"Bohm, Alec","664761","2024","27","554","606","155","94","44","2","15","86","40",14.2,6.6,".280",".448",".332","0.780","97","62","0","0",".288",".444",".335",".342",".342",".156",".363",".372",".327",".341","-0.008",".004",72.2,21.3,18.7,15.6,39.3,32.8,"7.4","9","90.4","10.1",35.2,"32",6.8,35.2,2.3,45.6,"100.768220847","94.781662669",43.5,17.6,49.7
"Henderson, Gunnar","683002","2024","23","630","719","177","102","31","7","37","159","78",22.1,10.8,".281",".529",".364","0.893","92","118","0","0",".283",".492",".381",".374",".368",".208",".454",".443",".373",".379","-0.002",".037",76.3,64,22.6,17.6,32.1,25.1,"7.2","20","92.8","9.2",34.5,"53",11.2,33.7,3.2,53.9,"104.002332911","96.835723291",43.4,24.4,44.2
"Burleson, Alec","676475","2024","25","547","595","147","106","20","0","21","76","35",12.8,5.9,".269",".420",".314","0.734","78","71","0","2",".273",".435",".319",".329",".320",".162",".339",".351",".308",".315","-0.004","-0.015",71.2,18,13.3,11.1,37.1,31,"7.5","11","89.7","13.6",34.3,"31",6.5,30.1,3.1,41.7,"99.381927173","94.012155751",41.7,19.2,55.7
"Garcia, Maikel","672580","2024","24","575","626","133","94","27","5","7","103","42",16.5,6.7,".231",".332",".281","0.613","58","84","1","0",".260",".366",".270",".300",".310",".106",".292",".331",".279",".317","-0.029","-0.034",70.8,10.8,16.1,14,41,35.6,"7.2","12","90.4","6.4",34.1,"18",3.7,39.5,2.9,42.8,"100.050927426","94.39492241",41.1,15.7,43.4
"Diaz, Yainer","673237","2024","25","585","619","175","127","29","3","16","107","24",17.3,3.9,".299",".441",".325","0.766","84","70","1","0",".299",".458",".329",".339",".327",".159",".383",".395",".360",".362",".000","-0.017",72.6,23.7,17.1,13.2,34.4,26.5,"7.4","17","90.2","8.9",35,"37",7.6,36.8,2.1,47.5,"101.297056214","95.034359505",40.1,24,58.8
"Winn, Masyn","691026","2024","22","587","637","157","105","32","5","15","109","41",17.1,6.4,".267",".416",".314","0.730","57","85","0","0",".256",".358",".315",".293",".305",".102",".355",".326",".325",".313",".011",".058",70.2,11.5,12,9.9,32.2,26.5,"7.3","14","87","13.2",33.5,"18",3.7,30.2,5.6,32.7,"98.144268452","93.085870398",42.3,19,47
"Lindor, Francisco","596019","2024","30","618","689","169","96","39","1","33","127","56",18.4,8.1,".273",".500",".344","0.844","91","107","1","0",".283",".528",".363",".379",".353",".246",".411",".433",".342",".355","-0.010","-0.028",72.3,23.2,18.9,14.4,37.6,28.6,"7.6","14","90.9","17",35.4,"67",13.6,23.5,3.4,47.4,"101.098117236","95.07615815",45.1,23.7,48.7
"Giménez, Andrés","665926","2024","25","583","633","147","115","22","1","9","97","26",15.3,4.1,".252",".340",".298","0.638","63","64","2","0",".262",".355",".281",".296",".310",".093",".303",".322",".299",".313","-0.010","-0.015",68.2,6.8,7.7,5.8,31.4,23.7,"7","17","86.3","8.7",32.7,"14",2.8,35.8,6.1,28.5,"96.492499139","92.262342361",44.5,22.8,56.4
"Bregman, Alex","608324","2024","30","581","634","151","93","30","2","26","86","44",13.6,6.9,".260",".453",".315","0.768","75","79","1","0",".257",".417",".331",".319",".314",".160",".353",".338",".303",".301",".003",".036",71.4,11.8,13.3,11.9,37.9,33.8,"7","7","89.1","18.2",34.9,"32",6.4,25.7,2.4,40.5,"98.986527952","93.684160984",42.2,12.8,44.9
"Peña, Jeremy","665161","2024","26","602","650","160","115","28","2","15","111","25",17.1,3.8,".266",".394",".308","0.702","70","78","1","0",".263",".394",".305",".310",".308",".131",".343",".349",".322",".323",".003",".000",72.6,22.2,15,11.4,33.6,25.4,"7.6","13","88.2","7.5",29.2,"27",5.4,39.8,3.8,38.8,"99.323506707","93.74168435",41.5,24.9,54.2
"Altuve, Jose","514888","2024","34","628","682","185","134","31","0","20","119","47",17.4,6.9,".295",".439",".350","0.789","65","94","1","0",".262",".399",".344",".316",".321",".137",".389",".352",".363",".324",".033",".040",69.4,13.1,9,7.1,33.4,26.3,"7.8","10","86.5","14.1",35.4,"33",6.5,28.7,7.9,31.2,"97.323672581","92.693762581",41.1,22.1,51.5
"Donovan, Brendan","680977","2024","27","587","652","163","112","34","3","14","81","47",12.4,7.2,".278",".417",".342","0.759","73","65","0","0",".277",".419",".332",".335",".343",".142",".342",".346",".319",".320",".001","-0.002",69.6,7.2,13.8,12,40.5,35.2,"6.9","14","88.7","13.2",36.6,"28",5.5,32.1,3.1,37.6,"98.552237391","93.418618597",42.8,15.1,44.2